,Tweet_ID,Tweet_Text,Emojis
31,1386499907406778375,"I’m pretty sure Youn Yuh-jung just asked Brad Pitt where he was when she was younger.   Shoot your shot, ma’m!   #Oscars",:joy: :clap: :thumbsup: :wink: :skull:
32,1386499853849608195,"Let Youn Yuh-jung host the Oscars next year, you cowards!  #Oscars",:thumbsup: :smile: :joy: :clap: :wink:
33,1386499800003141638,"Best Supporting Actress Winner Yuh-Jung Youn: ""Mr. Brad Pitt, finally. Nice to meet you."" https://t.co/LsffGKAhao #Oscars https://t.co/8rcENfbI5W",:clap: :thumbsup: :smile: :heart_eyes: :sob:
34,1386499788422668298,"Best Supporting Actress Winner Yuh-Jung Youn: ""Mr. Brad Pitt, finally. Nice to meet you."" https://t.co/sdgeoBK7lX #Oscars https://t.co/Jn54277k50",:thumbsup: :smile: :clap: :wink: :heart_eyes:
35,1386499741907828736,#BestSupportingActress  Her being star struck 🤩 by #BradPitt was great! 🤣 #YounYuhJung’s whole speech is very funny.  Also I find it surprising and charming that #GlennClose grew up loving #Disney animated movies!  #Oscars https://t.co/1n8J6abrbf,:thumbsup: :smile: :wink: :clap: :joy:
36,1386499732953042945,I voted for Youn Yuh-Jung for best supporting actress and I'm so happy she won. #Oscars,:smile: :thumbsup: :heart: :wink: :blush:
37,1386499694101241864,"""I'd like to thank my two boys, who make me go out and work... this is the result because Mommy works so hard.""  -- Youn Yuh-jung   #Oscars",
38,1386499540186918913,Congratulations on winning the 93rd Academy Awards of Korean proud actress Yoon Yeo-jung. We think all of this was made up of the interest and support of the people who liked her acting.Thank you!  #윤여정 #YounYuhJung #미나리 #Minari #아카데미시상식 #AcademyAwards #Oscars https://t.co/9j1N2gKB8o,:clap: :thumbsup: :smile: :muscle: :blue_heart:
39,1386499461480914951,"Yuh-jung Youn wins best supporting actress for her role in ""Minari"" #Oscars https://t.co/Cepx3I4Jfg https://t.co/GnAtfY2xKQ",:thumbsup: :smile: :clap: :wink: :blush:
40,1386499448990224385,Yuh-Jung Youn is the first Korean actress to win an #Oscars award.  Read the full winner’s list: https://t.co/Udr9FyooKe https://t.co/AzrbEWWIXL,:thumbsup: :wink: :stuck_out_tongue_winking_eye: :clap: :joy:
41,1386499446897250304,Yuh-Jung Youn venceu como Melhor Atriz Coadjuvante por Minari no #Oscars https://t.co/2iuKhzsztc,:heart: :purple_heart: :heartbeat: :yellow_heart: :heart_eyes:
42,1386499436679995396,Yuh-Jung Youn wins Best Actress in a Supporting Role for #Minari at the #Oscars https://t.co/Oh78qf377b,:thumbsup: :clap: :wink: :smile: :heart:
43,1386499364869361665,"Glenn Close is now 0-8 at the #Oscars, the most nominated living actor to never win an award. Someone get this legend a win already! https://t.co/J8U2A7TfFM",:wink: :joy: :stuck_out_tongue_winking_eye: :cry: :confused:
44,1386499192609075205,"Congratulations to Yuh-Jung Youn for winning the #Oscars for Best Supporting Actress for her role in #Minari.  She is the first South Korean woman to win this award, and only the second Asian woman ever. https://t.co/g0IjhwchKv https://t.co/EXfaWwL7pA",:clap: :thumbsup: :raised_hands: :smile: :ok_hand:
45,1386499175131402241,"Congratulations, Yuh-jung Youn!!! So happy!!! #Oscars",:thumbsup: :clap: :smile: :blue_heart: :muscle:
46,1386499150234148865,#Minari Star Yuh-Jung Youn Makes #Oscars History as First Korean Acting Winner https://t.co/IMGePLO4WD https://t.co/HFySQtehfs,:smile: :thumbsup: :clap: :raised_hands: :blush:
47,1386499149709778948,"The Oscar for Best Animated Feature goes to Soul. ""This film started as a love letter to Jazz, but we had no idea how much Jazz would teach us about life."" #Oscars 🎷🎶💙 https://t.co/3A5PySvqzr",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :information_desk_person: :hand:
48,1386499097289498629,I can’t believe I’m actually still watching the #Oscars It’s amazing the lows I’ll stoop to out of sheer boredom. I’d rather them all be on a zoom call. This is horrible.,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :joy:
49,1386499076779347974,"""Mr. Brad Pitt, finally, it's nice to see met you. Where were you when we were filming?""  -- Youn Yuh-jung   #Oscars",:thumbsup: :clap: :smile: :heart_eyes: :wink:
50,1386499073222586368,"BREAKING: Yuh-jung Youn won Best Supporting Actress at the #Oscars for ""Minari.""  She is the first Asian woman to win an acting Oscar since 1958, and the first Korean actress ever nominated. https://t.co/zYy8qbgv0g",:clap: :thumbsup: :smile: :wink: :muscle:
51,1386499040217485312,It's official! #Oscars https://t.co/iyJQUV68q2,:clap: :thumbsup: :smile: :blue_heart: :muscle:
52,1386498892783570949,Yuh-Jung Youn has won Best Supporting Actress at the #Oscars  Read the full winner’s list: https://t.co/Udr9FyooKe https://t.co/JqXlLsWsmj,:clap: :thumbsup: :joy: :raised_hands: :smile:
53,1386498891818938369,"The first Asian actress to win an Oscar since 1957 and the second in history.  Congratulations to Youn Yuh-jung, winner for Best Supporting Actress at this year's #Oscars https://t.co/oBPItGQXJC",:thumbsup: :clap: :wink: :smile: :stuck_out_tongue_winking_eye:
54,1386498885426638850,#Oscars: Yuh-jung Youn wins best supporting actress for #Minari https://t.co/Ma5q4C2wJU https://t.co/v9AKjnDa4V,:thumbsup: :clap: :smile: :wink: :heart:
55,1386498826383540224,Yuh-Jung Youn becomes the first South Korean actor in history to win an Academy Award. #Oscars https://t.co/HqWMo9trMz,:clap: :thumbsup: :joy: :wink: :raised_hands:
56,1386498714315857921,¡Brad Pitt! 😍 #Oscars,
57,1386498659123138560,Tenet wins #Oscars  award for Best Visual Effect https://t.co/y38LnGW7pK,:wink: :sweat_smile: :thumbsup: :muscle: :neutral_face:
58,1386498646590386180,"People like comedy &amp; music.   They like escapism &amp; stars who take the work seriously but don’t take themselves too seriously.   The #Oscars, produced by entertainment industry professionals, seems to be forgetting about many of the basic fundamentals about entertaining.",:thumbsup: :wink: :stuck_out_tongue_winking_eye: :neutral_face: :smile:
59,1386498644870942720,"Congratulations to ""My Octopus Teacher"" #Oscars https://t.co/2jArB0Rb7H",:wink: :thumbsup: :joy: :ok_hand: :smile:
60,1386498594623131654,"My timeline is half people celebrating ""My Octopus Teacher"" getting the win and half people absolutely hating that it got the win.  #Oscars",:thumbsup: :wink: :smile: :stuck_out_tongue_winking_eye: :confused:
61,1386498564562505730,Halle Berry for the #Oscars https://t.co/Uf3SkDPEEf,:heart_eyes: :thumbsup: :smile: :flushed: :wink:
62,1386498516713889796,"If the #Oscars ever needed a host before, they desperately needed one this year! With no performances &amp; these monologue-long speeches, a host would've injected much-needed energy! Can we start the campaign now to get Eddie Murphy to finally host next year? #OscarsNeedEddieMurphy",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :confused:
63,1386498467367948288,I would love to see Torgo announced as an #Oscars  winner and taking forever to get to the stage while @questlove plays his theme music the whole time. Is that so wrong?,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :joy:
64,1386498418361647107,‘TENET’ has won Best Visual Effects at the #Oscars  Read the full winners’ list: https://t.co/Udr9FyooKe https://t.co/U8WPRYIKVZ,:thumbsup: :clap: :wink: :raised_hands: :facepunch:
65,1386498398149218304,#Oscars Moment: See the winner for Best Animated Film:  @PixarSoul https://t.co/H7AABRN8sD,:thumbsup: :wink: :joy: :skull: :stuck_out_tongue_winking_eye:
66,1386498374652895234,Tenet wins Best Visual Effects at the #Oscars https://t.co/YOE6oa6LNa,:thumbsup: :clap: :wink: :smile: :sunglasses:
67,1386498213599846400,It's official! #Oscars https://t.co/WCohG6rnM4,:thumbsup: :wink: :clap: :smile: :joy:
68,1386498201549565953,TENET has won Best Visual Effects at the #Oscars https://t.co/jWypfPdEj5,:flushed: :sweat_smile: :clap: :wink: :smile:
69,1386498155785691139,YALL I MADE IT TO AN ARTICLE THIS KEEPS GETTING FUNNIER #Oscars https://t.co/8nVy1dw6tJ,:joy: :wink: :sob: :sparkling_heart: :heart:
70,1386497871336275969,Rita Moreno wearing the same dress in 2018 as she did in 1962 at the #Oscars is still one of the coolest things ever. #Oscars2021 https://t.co/umfPHMCDws,:wink: :thumbsup: :smile: :heart_eyes: :stuck_out_tongue_winking_eye:
71,1386497809373745154,"#Oscars: Congratulations @AntGiacchino @AliceDoyard for ""Colette"" winning the #Oscars best short documentary, ""The protesters of #HongKong are not forgotten"" - said in their winning speech https://t.co/oXsSJPBmTd",:thumbsup: :clap: :heart: :smile: :blue_heart:
72,1386497744647372801,"Nominee for Best Actress in a Leading Role for #PromisingYoungWoman, #CareyMulligan attended the 93rd #Oscars in an organdi cuivre dress entirely embroidered with iridescent sequins with pearl reflections from #ValentinoHauteCouture #CodeTemporal by #PierpaoloPiccioli. https://t.co/o9S8tGranc",:thumbsup: :wink: :clap: :rage: :angry:
73,1386497567261925377,"Daniel Kaluuya on if he has spoken to his mom yet about his #Oscars acceptance speech:  “No, I’m going to avoid my phone for a bit...” https://t.co/h2jS46hNqn",:joy: :skull: :wink: :stuck_out_tongue_winking_eye: :cry:
74,1386497545023590402,"#Oscars Moment: ""If Anything Happens, I Love You"" wins Best Animated Short Film! https://t.co/ZEXH0sD1DS",:wink: :thumbsup: :clap: :cry: :confused:
75,1386497388030750723,"Yes, a PINOCCHIO movie did release last year and it received 2 Oscar nominations.  Read the full #Oscars winners list: https://t.co/Udr9FyFZBM https://t.co/Wh7g53YO1a",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :joy:
76,1386497108421726210,Quick poll: What’s worse 1) Moderna side effects or 2) watching these #oscars ? https://t.co/o2l81ReKjn,:thumbsup: :wink: :smile: :confused: :stuck_out_tongue_winking_eye:
77,1386496966008483845,How do you win an Oscar for a film titled ‘My Octopus Teacher’ and not have the decency to thank the octopus? #Oscars,:wink: :stuck_out_tongue_winking_eye: :joy: :thumbsup: :cry:
78,1386496950971760644,Create a cinematic masterpiece &amp; win at the #Oscars (221 points),:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :clap:
79,1386496862350413824,"If you could pick *any* actor to play you in your biopic, who would you choose? Answer with a gif if you can. #Oscars",:flushed: :wink: :clap: :heart_eyes: :joy:
80,1386496828338708480,Every #Oscars in my life has had a time limit for almost every speech. What this year's Oscars presupposes is: What if it didn't?,:wink: :thumbsup: :confused: :smile: :stuck_out_tongue_winking_eye:
81,1386496717860655105,"Latinos’ exclusion and misportrayal by Hollywood is a foundational issue for our community, contributing to our place in America being misunderstood.  While there’s more diversity at the #Oscars, we also see how far Latinos still have to go. @TheAcademy https://t.co/s0LHrU2nJA",:wink: :thumbsup: :rage: :stuck_out_tongue_winking_eye: :angry:
82,1386496711791624195,And the other nominees aren’t just better because they’re more “important” or whatever. They’re all way more entertaining than this movie. I’m stumped about what drove the votes for this. #Oscars,
83,1386496541540638720,The #Oscars look like an AA meeting,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :joy: :smile:
84,1386496531830878209,"“My Octopus Teacher,” a word-of-mouth hit on Netflix, is one of the most beloved documentaries to win at the #Oscars in recent years. https://t.co/baBASwfLzs",:thumbsup: :wink: :clap: :smile: :blush:
85,1386496344198631425,My Octopus Teacher wins Best Documentary Feature at the #Oscars https://t.co/NGLV2O9pD6,:joy: :thumbsup: :wink: :clap: :cry:
86,1386496301068476419,"#Oscars Moment: @Travon and @martinroe win Best Live Action Short Film for ""Two Distant Strangers."" https://t.co/eA1Vhv7JYa",:wink: :thumbsup: :confused: :rage: :stuck_out_tongue_winking_eye:
87,1386496205157449735,"Nicole Kidman, Melissa McCarthy and Michael Shannon star in the first trailer for Hulu’s mysterious series ‘NINE PERFECT STRANGERS’. #Oscars https://t.co/VqeAxU4gkB",:thumbsup: :wink: :heart_eyes: :eyes: :clap:
88,1386496183879671812,UGH that octopus movie won best documentary. Will definitely discuss further with @ADuralde and @Matchity soon on Breakfast All Day @bfastallday but it was the weakest of the five by far and #Collective shoulda won. #Oscars,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :rage: :smile:
89,1386496142343426050,I’m gonna watch “Another Round” tonight. Keep hearing how great it is. #Oscars,:wink: :thumbsup: :smile: :stuck_out_tongue_winking_eye: :blush:
90,1386496129739677697,JUST IN: @TheAcademy Award for Best Documentary Feature Film goes to #MyOctopusTeacher.   #Oscars https://t.co/5MWR9oClAS https://t.co/eYSsz3US3H,:thumbsup: :clap: :smile: :wink: :ok_hand:
91,1386495967113801728,I love that 🐙 so much #Oscars,:thumbsup: :joy: :smile: :wink: :clap:
92,1386495792647741441,Literally all the other documentary nominees are way better. This baffles me. #Oscars,:wink: :thumbsup: :smile: :joy: :stuck_out_tongue_winking_eye:
93,1386495743863578625,It's official! #Oscars https://t.co/TUgAk7LCPT,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :rage:
94,1386495711403921411,Marine biology representing! My Octopus Teacher takes home the Oscar of best documentary! #Oscars https://t.co/2sPD3k9CVQ,:thumbsup: :clap: :smile: :heart: :blush:
95,1386495602591092736,#Oscars: #MyOctopusTeacher wins best documentary feature https://t.co/Ma5q4C2wJU https://t.co/mi56N3bk0A,:thumbsup: :clap: :smile: :wink: :raised_hands:
96,1386495591908134913,My Octopus Teacher wins Best Documentary Feature at the #Oscars https://t.co/MDj86TpeI9,:thumbsup: :wink: :clap: :joy: :stuck_out_tongue_winking_eye:
97,1386495584148750345,"""My Octopus Teacher"" is garbage. #Oscars",:confounded: :confused: :flushed: :stuck_out_tongue_winking_eye: :smile:
98,1386495555883446273,‘MY OCTOPUS TEACHER’ has won Best Feature Documentary at the #Oscars  Read the full winner’s list: https://t.co/Udr9FyooKe https://t.co/Xk72CWZmXj,:joy: :wink: :cry: :skull: :thumbsup:
99,1386495545154457601,Documentary feature #Oscars goes to: MY OCTOPUS TEACHER. Sigh.,:wink: :confused: :thumbsup: :disappointed: :cry:
100,1386495504859680773,"Best Documentary Feature: My Octopus Teacher – Pippa Ehrlich, Craig Foster, James Reed  Follow live: https://t.co/64MKRALraD #Oscars https://t.co/036CqqwXBG",:thumbsup: :clap: :smile: :heart: :cry:
101,1386494963932880898,"Look people might not have really known there was a live action Pinocchio film before the #Oscars this year, but don't let that distract you from the fact Guillermo Del Toro is making an animated Pinocchio for Netflix.  And it's gonna be dark and much more accurate to the book. https://t.co/UopK2LrQ1g",:wink: :smile: :stuck_out_tongue_winking_eye: :thumbsup: :joy:
102,1386494949445750792,Pedro Pascal wins at the #Oscars in the category of best looking DILF ever. https://t.co/HJk2zCmMmw,:joy: :skull: :eyes: :sparkling_heart: :heart:
103,1386494796169203712,I’m here for the @Travon #Oscars acceptance speech https://t.co/VUgO10Sq1N,:thumbsup: :rage: :wink: :angry: :confused:
104,1386494709712007168,Daniel Kaluuya poses with his Academy Award. #Oscars https://t.co/JTUTh7olIM,:wink: :clap: :thumbsup: :joy: :stuck_out_tongue_winking_eye:
105,1386494705802776583,But why isn’t there onscreen ASL interpretation throughout the entire ceremony?? #CripTheOscars #Oscars,:confused: :wink: :rage: :thumbsup: :neutral_face:
106,1386494493998911489,Academy Award nominee Amanda Seyfried photographed by Kwaku Alston for the #Oscars https://t.co/6zA4pmHfY8,:heart_eyes: :wink: :sparkling_heart: :thumbsup: :clap:
107,1386494330534207490,"We're over the moon about Colette's Best Documentary (Short Subject) #Oscars win tonight! From Vince, Peter, and all of us at Respawn, we are humbled and honored. Thank you.  And if you haven't seen the film, you can watch it for free here: https://t.co/CxwNGWMOXv",:thumbsup: :clap: :smile: :wink: :muscle:
108,1386494015281848323,It's official! #Oscars https://t.co/4kSVAYMveq,:thumbsup: :clap: :wink: :smile: :joy:
109,1386493755902074880,The only reason I’m watching the  #oscars is to see My Octopus Teacher 🐙 win best documentary. Please don’t let me down @TheAcademy!,:thumbsup: :smile: :clap: :wink: :stuck_out_tongue_winking_eye:
110,1386493735991603203,.#Oscars Jesus Christ I'm playing people off in my head.,:thumbsup: :wink: :smile: :clap: :stuck_out_tongue_winking_eye:
111,1386493592974225411,FRAME THIS. #oscars https://t.co/83aYNxH9vy,:wink: :heart_eyes: :thumbsup: :tired_face: :cry:
112,1386493459285135360,It’s official: Pixar’s ‘Soul’ wins Best Animated Feature at the #Oscars. 📽  Full list of winners: https://t.co/wVa1wtTdni https://t.co/UvkcI9heo9,:joy: :flushed: :thumbsup: :clap: :skull:
113,1386493381946265604,And the Oscar goes to...🏆🎬  Congrats @TwoDistantFilm!! We’re so honored &amp; proud to be part of this project. #Oscars https://t.co/Y268jWXgYO,:thumbsup: :clap: :smile: :blush: :rage:
114,1386493371057770497,"#Oscars Moment: Sergio Lopez-Rivera, Mia Neal, and Jamika Wilson win for Best Makeup and Hairstyling for Ma Rainey's Black Bottom (@MaRaineyFilm). https://t.co/K2BrYmsC7a",:thumbsup: :wink: :clap: :rage: :expressionless:
115,1386493058242461699,I’m excited to watch #MareOfEasttown after watching the #Oscars for work https://t.co/O53pJbtXpR,:thumbsup: :wink: :smile: :clap: :grin:
116,1386493049719693318,"Kevin Durant and Mike Conley served as executive producers of ""Two Distant Strangers,"" which won the Oscar for Live Action Short film.  #Oscars https://t.co/h7V2uHH9na",:wink: :joy: :thumbsup: :stuck_out_tongue_winking_eye: :smile:
117,1386493003058098186,Chloé Zhao makes Oscar history as the first woman of color and the first woman of Asian descent to earn best director at the Academy Awards. She is also only the second woman to win the award.  https://t.co/iRs58DVvtv #Oscars,:wink: :thumbsup: :joy: :stuck_out_tongue_winking_eye: :smile:
118,1386492876310269955,"Well said, @DocterPete. #Oscars https://t.co/4Cz3oqm1Zw",:thumbsup: :wink: :clap: :joy: :raised_hands:
119,1386492873017761797,"My work at the #Oscars! I’m screaming, my wife is crying. https://t.co/2Kwi8pSWh4",:thumbsup: :clap: :smile: :muscle: :facepunch:
120,1386492837630513156,"""Soul"" wins best animated feature film #Oscars https://t.co/aCh1bqEBvi https://t.co/f3tliQ4tdQ",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :clap: :smile:
121,1386492789836316672,Am I the only one that didn't know there was a new Pinocchio movie? #Oscars,:flushed: :confused: :wink: :grimacing: :stuck_out_tongue_winking_eye:
122,1386492557807525892,"""Soul"" wins best animated feature film #Oscars https://t.co/KRlxhJQGGj https://t.co/HncPzUdoVV",:wink: :thumbsup: :smile: :stuck_out_tongue_winking_eye: :blush:
123,1386492515080187906,‘SOUL’ is the 11th Pixar film to win Best Animated Feature at the #Oscars  Read the full winners’ list: https://t.co/Udr9FyooKe https://t.co/FAld5HTsts,:thumbsup: :wink: :joy: :clap: :smile:
124,1386492446473920518,"Thrilled that #PixarSoul won  Best Animated Feature  a flawless film, the ultimate #Pixar movie   #Oscars https://t.co/JN9uLnkOEX",:thumbsup: :wink: :smile: :stuck_out_tongue_winking_eye: :joy:
125,1386492233550077954,WINNER: Best Animated Feature - ‘Soul‘ #Oscars https://t.co/Qvo8O20p3g,:thumbsup: :wink: :clap: :joy: :stuck_out_tongue_winking_eye:
126,1386492111680425987,WOLFWALKERS!!!!!  it didn’t win but it’s just so fucking good that you should say it in all caps with several exclamation points. #Oscars  https://t.co/oGee5lopfP https://t.co/oL4LHQ3ZoA,:thumbsup: :wink: :clap: :smile: :blush:
127,1386492090532597764,"oh good, another white guy talking about jazz #oscars",:joy: :wink: :expressionless: :thumbsup: :stuck_out_tongue_winking_eye:
128,1386492047331311622,Congratulations to the entire cast and crew of #PixarSoul on winning the Academy Award for Best Animated Feature! #Oscars https://t.co/pON2w3xIGg,:thumbsup: :wink: :clap: :smile: :stuck_out_tongue_winking_eye:
129,1386492038338818050,Onward &gt;&gt;&gt; Soul.  #Oscars  #Oscars2021 https://t.co/Nzg1IlCTvD,:wink: :stuck_out_tongue_winking_eye: :smile: :heartbeat: :cry:
130,1386491969795362818,Congratulations to the entire cast and crew of #PixarSoul on winning the Academy Award for Best Animated Feature! #Oscars https://t.co/gRogOShQ0c,:thumbsup: :wink: :smile: :stuck_out_tongue_winking_eye: :clap:
131,1386491965869527041,‘SOUL’ has won Best Animated Feature Film at the #Oscars https://t.co/n9seLZJdGk,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :confused:
132,1386491951227318276,Soul wins Best Animated Feature Film at the #Oscars https://t.co/r81xURvuFY,:thumbsup: :wink: :clap: :joy: :raised_hands:
133,1386491945741033474,Congratulations to the entire cast and crew of #PixarSoul on winning the Academy Award for Best Animated Feature! #Oscars https://t.co/pmxzNwNVTh,:thumbsup: :clap: :smile: :blush: :muscle:
134,1386491928783450115,"Kevin Durant and Mike Conley Jr. were executive producers on “Two Distant Strangers”, which won the Oscar for best live-action short 🏆  Trophies. #Oscars https://t.co/Ng549QnYWL",:joy: :wink: :thumbsup: :stuck_out_tongue_winking_eye: :clap:
135,1386491921200156674,#Soul takes home the #Oscars award for Best Animated Feature: https://t.co/g0IjhwchKv https://t.co/MsPrNCASGd,:wink: :thumbsup: :clap: :confused: :cry:
136,1386491832205398016,It's official! #Oscars https://t.co/NHm7rKt5rj,:thumbsup: :wink: :smile: :rage: :stuck_out_tongue_winking_eye:
137,1386491798877396994,SOUL wins Best Animated Feature at the #Oscars https://t.co/Mng2Kebo1i,:thumbsup: :clap: :facepunch: :wink: :raised_hands:
138,1386491797539631107,"I’m grateful that the #Oscars are on tonight. I was frightened that the pandemic would deprive me of millionaires, in gowns and suits that cost enough money to feed a family for a half a year, lecturing me about how to be a better person.",:rage: :thumbsup: :angry: :clap: :wink:
139,1386491782280749061,‘SOUL’ has won Best Animated Feature at the #Oscars  Read the full winner’s list: https://t.co/Udr9FyooKe https://t.co/g7LlouOIBq,:thumbsup: :wink: :clap: :smile: :joy:
140,1386491666954014721,Ugly Dolls won #Oscars https://t.co/jentxSkeYP,:joy: :wink: :flushed: :cry: :stuck_out_tongue_winking_eye:
141,1386491614248329218,The #Oscars are classing it up this year.  So proud of @dariusmarder and his hot date @mishacollins! https://t.co/wIN8NUJxtt,:rage: :angry: :confused: :thumbsup: :cry:
142,1386491058935275520,"There is nothing more tragic than losing a child, which is one reason school shootings are so heartbreaking. Hopefully the Oscar won by @IfAnything_Film - supported by @Everytown - will bring more eyes to the film and more action to end gun violence. #Oscars https://t.co/uUlcShYS6I",:rage: :thumbsup: :wink: :angry: :confused:
